#Vectors,Predition,Ground truth
16,0,Iris-versicolor
16,0,Iris-versicolor
16,0,Iris-versicolor
16,0,Iris-versicolor
16,1,Iris-versicolor
16,1,Iris-versicolor
16,0,Iris-versicolor
16,1,Iris-versicolor
16,0,Iris-setosa
16,1,Iris-setosa
16,0,Iris-setosa
16,2,Iris-setosa
16,0,Iris-setosa
16,1,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,2,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,2,Iris-setosa
16,2,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,2,Iris-setosa
16,2,Iris-setosa
16,2,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,2,Iris-setosa
16,2,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,2,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,2,Iris-versicolor
16,0,Iris-versicolor
16,2,Iris-versicolor
16,1,Iris-versicolor
16,2,Iris-versicolor
16,1,Iris-versicolor
16,1,Iris-versicolor
16,1,Iris-versicolor
16,0,Iris-virginica
16,0,Iris-virginica
16,0,Iris-virginica
16,0,Iris-virginica
16,0,Iris-virginica
16,2,Iris-virginica
16,0,Iris-virginica
16,0,Iris-virginica
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,1,Iris-setosa
16,0,Iris-virginica
16,1,Iris-virginica
16,0,Iris-virginica
16,2,Iris-virginica
16,0,Iris-virginica
16,2,Iris-virginica
16,0,Iris-virginica
16,0,Iris-virginica
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,1,Iris-setosa
16,2,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-virginica
16,0,Iris-virginica
16,2,Iris-virginica
16,1,Iris-virginica
16,0,Iris-virginica
16,1,Iris-virginica
16,0,Iris-virginica
16,2,Iris-virginica
16,2,Iris-setosa
16,2,Iris-setosa
16,0,Iris-setosa
16,2,Iris-setosa
16,0,Iris-setosa
16,2,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,1,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-virginica
16,2,Iris-virginica
16,0,Iris-virginica
16,2,Iris-virginica
16,0,Iris-virginica
16,2,Iris-virginica
16,0,Iris-virginica
16,0,Iris-virginica
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,1,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,2,Iris-setosa
16,0,Iris-setosa
16,2,Iris-setosa
16,0,Iris-setosa
16,2,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-versicolor
16,1,Iris-versicolor
16,1,Iris-versicolor
16,1,Iris-versicolor
16,1,Iris-versicolor
16,1,Iris-versicolor
16,1,Iris-versicolor
16,1,Iris-versicolor
16,0,Iris-virginica
16,0,Iris-virginica
16,0,Iris-virginica
16,0,Iris-virginica
16,1,Iris-virginica
16,1,Iris-virginica
16,0,Iris-virginica
16,1,Iris-virginica
16,0,Iris-versicolor
16,0,Iris-versicolor
16,2,Iris-versicolor
16,1,Iris-versicolor
16,2,Iris-versicolor
16,1,Iris-versicolor
16,1,Iris-versicolor
16,1,Iris-versicolor
16,1,Iris-versicolor
16,1,Iris-versicolor
16,1,Iris-versicolor
16,1,Iris-versicolor
16,1,Iris-versicolor
16,1,Iris-versicolor
16,1,Iris-versicolor
16,1,Iris-versicolor
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,2,Iris-setosa
16,2,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,2,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,2,Iris-virginica
16,2,Iris-virginica
16,2,Iris-virginica
16,1,Iris-virginica
16,0,Iris-virginica
16,1,Iris-virginica
16,1,Iris-virginica
16,2,Iris-virginica
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,2,Iris-setosa
16,0,Iris-setosa
16,2,Iris-setosa
16,0,Iris-setosa
16,2,Iris-setosa
16,0,Iris-versicolor
16,0,Iris-versicolor
16,0,Iris-versicolor
16,2,Iris-versicolor
16,0,Iris-versicolor
16,2,Iris-versicolor
16,0,Iris-versicolor
16,0,Iris-versicolor
16,0,Iris-virginica
16,2,Iris-virginica
16,2,Iris-virginica
16,1,Iris-virginica
16,0,Iris-virginica
16,2,Iris-virginica
16,2,Iris-virginica
16,0,Iris-virginica
16,0,Iris-virginica
16,0,Iris-virginica
16,0,Iris-virginica
16,2,Iris-virginica
16,0,Iris-virginica
16,2,Iris-virginica
16,0,Iris-virginica
16,0,Iris-virginica
16,0,Iris-setosa
16,2,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,0,Iris-setosa
16,1,Iris-setosa
16,0,Iris-setosa
16,1,Iris-setosa
16,2,Iris-setosa
16,2,Iris-setosa
16,2,Iris-setosa
16,1,Iris-setosa
16,1,Iris-setosa
16,2,Iris-setosa
16,1,Iris-setosa
16,1,Iris-setosa
16,0,Iris-versicolor
16,2,Iris-versicolor
16,2,Iris-versicolor
16,1,Iris-versicolor
16,0,Iris-versicolor
16,1,Iris-versicolor
16,1,Iris-versicolor
16,2,Iris-versicolor
16,0,Iris-virginica
16,0,Iris-virginica
16,2,Iris-virginica
16,2,Iris-virginica
16,2,Iris-virginica
16,1,Iris-virginica
16,0,Iris-virginica
16,2,Iris-virginica
16,2,Iris-virginica
16,2,Iris-virginica
16,2,Iris-virginica
16,1,Iris-virginica
16,0,Iris-virginica
16,2,Iris-virginica
16,1,Iris-virginica
